Scheme Code,Scheme Name,CAGR_3Y,Sharpe_Ratio,Alpha,Expense_Ratio,Maximum_Drawdown,CAGR_Rank,Sharpe_Rank,Alpha_Rank,Expense_Rank,Drawdown_Rank,CAGR_Score,Sharpe_Score,Alpha_Score,Expense_Score,Drawdown_Score,Fund_Score,Overall_Rank
100348,ICICI Prudential Large & Mid Cap Fund - IDCW,7.04,-0.02591428330835368,-0.005,2.27,-64.79,23.0,31.0,22.0,218.0,17.0,90.87136929460581,87.55186721991701,91.28630705394191,9.95850622406639,93.3609958506224,78.24,39
100080,DSP Flexi Cap Fund - Regular Plan - IDCW,3.56,-0.021147644819065864,-0.0817,2.15,-61.55,30.0,28.0,35.0,206.0,12.0,87.96680497925311,88.79668049792531,85.89211618257261,14.937759336099585,95.4356846473029,77.55,40
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,,,,0.67,,,,,58.0,,,,,76.34854771784232,,,41
119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,,,,1.62,,,,,153.0,,,,,36.92946058091287,,,42
119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,,,,2.04,,,,,195.0,,,,,19.502074688796682,,,43
108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,,,,2.21,,,,,212.0,,,,,12.448132780082988,,,44
110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,,,,1.85,,,,,176.0,,,,,27.385892116182575,,,45
108274,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,,,,1.3,,,,,121.0,,,,,50.20746887966805,,,46
108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,,,,2.1,,,,,201.0,,,,,17.012448132780083,,,47
119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,,,,2.09,,,,,200.0,,,,,17.42738589211618,,,48
128952,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,,,,1.0,,,,,91.0,,,,,62.655601659751035,,,49
120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,,,,2.12,,,,,203.0,,,,,16.182572614107883,,,50
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,,,,2.22,,,,,213.0,,,,,12.033195020746888,,,51
120439,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,,,,0.84,,,,,75.0,,,,,69.29460580912863,,,52
120436,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,,,,1.13,,,,,104.0,,,,,57.26141078838174,,,53
128953,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,,,,2.15,,,,,206.0,,,,,14.937759336099585,,,54
117447,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,,,,0.94,,,,,85.0,,,,,65.14522821576763,,,55
117446,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,,,,2.05,,,,,196.0,,,,,19.08713692946058,,,56
117449,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,,,,1.77,,,,,168.0,,,,,30.70539419087137,,,57
117448,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,,,,0.89,,,,,80.0,,,,,67.21991701244814,,,58
152164,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,,,,0.69,,,,,60.0,,,,,75.51867219917013,,,59
152163,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,,,,1.01,,,,,92.0,,,,,62.24066390041494,,,60
152165,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,,,,1.86,,,,,177.0,,,,,26.970954356846473,,,61
152166,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,,,,1.92,,,,,183.0,,,,,24.481327800829874,,,62
152162,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,,,,1.71,,,,,162.0,,,,,33.19502074688796,,,63
152167,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,,,,1.26,,,,,117.0,,,,,51.867219917012456,,,64
121936,Bandhan Banking and PSU Fund - Direct Annual IDCW,,,,0.3,,,,,21.0,,,,,91.70124481327801,,,65
127471,Bandhan Banking and PSU Fund - Direct Daily IDCW,,,,0.74,,,,,65.0,,,,,73.44398340248964,,,66
121934,Bandhan Banking and PSU Fund - Direct Fortnightly IDCW,,,,1.1,,,,,101.0,,,,,58.50622406639005,,,67
121279,Bandhan Banking and PSU Fund - Direct Growth,,,,0.72,,,,,63.0,,,,,74.27385892116183,,,68
121281,Bandhan Banking and PSU Fund - Direct IDCW,,,,0.5,,,,,41.0,,,,,83.40248962655602,,,69
121935,Bandhan Banking and PSU Fund - Direct Monthly IDCW,,,,1.34,,,,,125.0,,,,,48.54771784232365,,,70
121938,Bandhan Banking and PSU Fund - Direct Quarterly IDCW,,,,1.9,,,,,181.0,,,,,25.311203319502074,,,71
121933,Bandhan Banking and PSU Fund - Regular Annual IDCW,,,,1.02,,,,,93.0,,,,,61.82572614107884,,,72
127470,Bandhan Banking and PSU Fund - Regular Daily IDCW,,,,2.32,,,,,223.0,,,,,7.883817427385892,,,73
121931,Bandhan Banking and PSU Fund - Regular Fortnightly IDCW,,,,0.3,,,,,21.0,,,,,91.70124481327801,,,74
121280,Bandhan Banking and PSU Fund - Regular Growth,,,,2.17,,,,,208.0,,,,,14.107883817427386,,,75
121282,Bandhan Banking and PSU Fund - Regular IDCW,,,,1.05,,,,,96.0,,,,,60.58091286307054,,,76
121932,Bandhan Banking and PSU Fund - Regular Monthly IDCW,,,,0.4,,,,,31.0,,,,,87.55186721991701,,,77
121937,Bandhan Banking and PSU Fund - Regular Quarterly IDCW,,,,1.86,,,,,177.0,,,,,26.970954356846473,,,78
150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,,,,0.14,,,,,5.0,,,,,98.3402489626556,,,79
150507,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,,,,1.18,,,,,109.0,,,,,55.18672199170125,,,80
150503,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,,,,2.17,,,,,208.0,,,,,14.107883817427386,,,81
150504,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),,,,1.9,,,,,181.0,,,,,25.311203319502074,,,82
124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth,,,,0.7,,,,,61.0,,,,,75.10373443983403,,,83
124178,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,,,,1.66,,,,,157.0,,,,,35.26970954356847,,,84
124182,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,,,,1.64,,,,,155.0,,,,,36.09958506224066,,,85
124176,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,,,,1.12,,,,,103.0,,,,,57.676348547717836,,,86
124177,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ,,,,2.45,,,,,236.0,,,,,2.4896265560165975,,,87
124183,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,,,,2.23,,,,,214.0,,,,,11.618257261410788,,,88
124172,DSP Banking & PSU Debt Fund - Regular Plan - Growth,,,,0.57,,,,,48.0,,,,,80.49792531120332,,,89
124174,DSP Banking & PSU Debt Fund - Regular Plan - IDCW,,,,0.5,,,,,41.0,,,,,83.40248962655602,,,90
124173,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,,,,1.12,,,,,103.0,,,,,57.676348547717836,,,91
124180,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,,,,1.85,,,,,176.0,,,,,27.385892116182575,,,92
